pid,fgxp,fkicker,dist,good
692712,XP,DC-0500,33,1
692731,XP,DC-0500,33,0
692737,FG,RB-4650,40,0
692745,XP,RB-4650,33,1
692763,FG,DC-0500,20,1
692773,FG,RB-4650,39,1
692789,FG,DC-0500,37,1
692802,XP,RB-4650,33,1
692830,FG,DC-0500,42,1
692867,FG,AF-1150,38,1
692888,FG,AF-1150,46,0
692901,FG,SG-0800,34,1
692916,FG,SG-0800,46,0
692925,XP,AF-1150,33,1
692934,XP,SG-0800,33,1
692994,XP,AF-1150,33,1
693010,FG,AF-1150,19,1
693036,FG,SG-1100,51,1
693048,XP,KF-0250,33,1
693058,XP,SG-1100,33,1
693069,XP,KF-0250,33,1
693078,FG,SG-1100,45,0
693096,XP,SG-1100,33,1
693123,FG,KF-0250,41,1
693172,FG,KF-0250,30,1
693218,FG,JT-3950,28,1
693239,FG,JT-3950,50,1
693250,XP,MN-0800,33,1
693261,FG,JT-3950,49,1
693271,XP,MN-0800,33,1
693287,XP,MN-0800,33,1
693329,FG,MN-0800,52,1
693340,XP,JT-3950,33,1
693369,XP,CB-2275,33,1
693384,FG,TC-2450,29,1
693395,FG,CB-2275,48,0
693419,FG,TC-2450,39,1
693427,XP,CB-2275,33,1
693437,FG,TC-2450,33,1
693455,FG,CB-2275,39,1
693474,FG,TC-2450,29,1
693495,FG,CB-2275,21,1
693546,FG,NN-0200,29,1
693563,XP,NN-0200,33,1
693572,FG,JM-7000,43,1
693586,XP,NN-0200,33,1
693611,FG,NN-0200,51,1
693645,FG,JM-7000,34,1
693657,FG,NN-0200,50,0
693673,FG,NN-0200,51,1
693676,XP,NN-0200,33,1
693703,FG,AV-0400,49,1
693721,XP,RS-3400,33,1
693727,XP,AV-0400,33,1
693740,XP,RS-3400,33,1
693749,FG,AV-0400,52,1
693774,XP,AV-0400,33,1
693781,XP,AV-0400,33,1
693793,FG,RS-3400,49,1
693820,XP,RS-3400,33,1
693842,FG,AV-0400,35,1
693870,XP,DH-3970,33,1
693881,XP,DH-3970,33,1
693893,XP,DH-3970,33,1
693908,FG,DH-3970,27,1
693919,XP,DB-0200,33,1
693934,XP,DB-0200,33,1
693961,FG,DH-3970,33,1
693971,XP,DH-3970,33,1
694008,XP,DB-0200,33,1
694025,XP,CS-4250,33,1
694051,FG,JB-7100,22,1
694059,XP,CS-4250,33,1
694070,FG,JB-7100,30,1
694079,XP,JB-7100,33,1
694097,XP,CS-4250,33,1
694113,XP,JB-7100,33,1
694131,XP,JB-7100,33,1
694146,XP,CS-4250,33,1
694168,XP,CS-4250,33,1
694181,FG,JB-7100,48,1
694211,XP,MP-2100,33,1
694246,FG,MP-2100,54,0
694267,FG,MP-2100,59,1
694278,FG,RG-1500,49,1
694288,XP,RG-1500,33,1
694298,XP,MP-2100,33,1
694306,XP,RG-1500,33,1
694316,XP,MP-2100,33,1
694325,FG,RG-1500,34,1
694352,XP,CS-0250,33,1
694374,XP,CS-0250,33,1
694381,FG,SJ-0300,29,1
694405,XP,SJ-0300,33,1
694442,XP,CS-0250,33,1
694486,XP,SJ-0300,33,1
694502,XP,BM-1650,33,1
694513,FG,JL-0207,50,1
694563,FG,JL-0207,42,1
694599,XP,JL-0207,33,1
694610,XP,BM-1650,33,1
694628,FG,BM-1650,48,1
694632,XP,JL-0207,33,1
694641,FG,BM-1650,35,1
694656,XP,BM-1650,33,1
694692,XP,SH-0400,33,1
694699,FG,SH-0400,52,1
694713,XP,CC-1150,33,0
694726,XP,SH-0400,33,1
694737,XP,SH-0400,33,1
694746,XP,SH-0400,33,0
694760,FG,SH-0400,40,0
694765,FG,CC-1150,51,0
694776,FG,SH-0400,33,1
694788,FG,SH-0400,52,1
694850,FG,GZ-2000,33,1
694869,XP,PD-0200,33,1
694885,FG,PD-0200,26,1
694898,FG,GZ-2000,32,1
694905,XP,GZ-2000,33,1
694917,FG,GZ-2000,44,1
694931,FG,PD-0200,28,1
694948,FG,GZ-2000,52,0
694978,FG,PD-0200,38,1
695020,FG,GZ-2000,48,0
695025,FG,PD-0200,23,1
695056,FG,CB-0700,39,1
695068,XP,GG-0100,33,1
695079,FG,GG-0100,49,1
695091,XP,GG-0100,33,1
695101,XP,GG-0100,33,1
695132,XP,GG-0100,33,1
695143,XP,CB-0700,33,1
695170,XP,GG-0100,33,1
695201,FG,BW-0350,39,1
695218,FG,MC-3000,28,1
695249,FG,BW-0350,32,1
695278,XP,BW-0350,33,1
695293,XP,BW-0350,33,1
695309,XP,MC-3000,33,1
695325,FG,MC-3000,43,1
695348,XP,CS-0250,33,1
695386,FG,CS-0250,49,1
695399,FG,CS-0250,49,1
695447,XP,CS-0250,33,1
695461,XP,CS-0250,33,1
695486,FG,CS-0250,33,1
695561,FG,CB-2275,39,1
695576,FG,CB-2275,30,1
695590,FG,CB-2275,34,1
695625,XP,MN-0800,33,1
695645,FG,MN-0800,36,1
695671,FG,CB-2275,35,1
695701,FG,BW-0350,22,1
695753,FG,BW-0350,43,1
695767,FG,BW-0350,47,1
695777,XP,SH-0400,33,1
695787,FG,SH-0400,46,1
695813,FG,BW-0350,27,0
695840,FG,DH-3970,25,1
695861,XP,DH-3970,33,0
695873,XP,MC-3000,33,1
695889,FG,MC-3000,43,1
695904,XP,MC-3000,33,1
695917,XP,DH-3970,33,1
695930,XP,MC-3000,33,1
695972,FG,MC-3000,29,1
696003,XP,SG-0800,33,1
696021,FG,CS-0250,34,1
696059,XP,SG-0800,33,1
696073,FG,CS-0250,32,1
696092,XP,SG-0800,33,1
696107,XP,CS-0250,33,1
696116,FG,SG-0800,40,1
696127,FG,SG-0800,32,1
696159,XP,CS-0250,33,1
696187,XP,CC-1150,33,1
696216,FG,MC-3000,28,1
696240,FG,MC-3000,34,1
696258,XP,MC-3000,33,1
696271,FG,CC-1150,28,1
696307,XP,CC-1150,33,1
696316,FG,CC-1150,36,1
696325,XP,MC-3000,33,1
696335,XP,GG-0100,33,1
696339,XP,GG-0100,33,1
696363,XP,GG-0100,33,1
696369,FG,GG-0100,48,1
696384,XP,GG-0100,33,1
696407,FG,SH-0400,55,0
696413,XP,SH-0400,33,1
696429,XP,SH-0400,33,1
696467,XP,SH-0400,33,1
696487,FG,SH-0400,36,1
696501,FG,BM-1650,28,1
696522,FG,BM-1650,41,1
696529,XP,CB-2275,33,1
696545,FG,CB-2275,43,1
696574,FG,BM-1650,51,1
696590,FG,CB-2275,28,1
696607,FG,BM-1650,41,1
696653,FG,BM-1650,45,1
696659,FG,CB-2275,47,1
696681,XP,BM-1650,33,1
696699,XP,SG-0800,33,0
696713,XP,BM-1650,33,1
696729,FG,SG-0800,46,1
696753,FG,BM-1650,52,1
696768,FG,SG-0800,38,1
696803,FG,BM-1650,31,1
696858,FG,GG-0100,45,1
696874,XP,GG-0100,33,1
696886,XP,GG-0100,33,1
696910,XP,CC-1150,33,1
696922,XP,GG-0100,33,1
696942,FG,GG-0100,21,1
696956,XP,GG-0100,33,1
696994,XP,GG-0100,33,1
697019,FG,BM-1650,34,1
697032,XP,BM-1650,33,1
697056,XP,GG-0100,33,1
697071,FG,BM-1650,33,1
697108,FG,GG-0100,44,0
697116,FG,BM-1650,30,1
697146,FG,GG-0100,39,1
