pid,bc,dir,yds,succ,kne
694915,BC-3070,MD,40,1,0
694920,DH-1700,RE,1,0,0
694921,DH-1700,MD,-1,0,0
694923,DH-1700,LT,-1,0,0
694925,BG-0100,RE,9,1,0
694926,DH-1700,RE,0,0,0
694928,MD-0150,MD,-1,0,0
694934,TM-0650,RE,0,0,0
694936,TM-0650,MD,2,0,0
694938,CK-0250,RG,2,1,0
694940,TM-0650,MD,3,0,0
694942,TA-1050,RE,4,1,0
694944,TM-0650,LE,4,0,0
694949,MD-0150,RT,9,1,0
694950,MD-0150,RT,1,1,0
694960,TA-1050,LE,6,1,0
694961,TM-0650,LT,2,1,0
694965,MD-0150,LG,4,1,0
694968,DH-1700,LG,0,0,0
694970,MD-0150,LG,2,0,0
694971,MD-0150,RT,1,0,0
694973,DH-1700,RE,3,1,0
694976,DH-1700,MD,2,1,0
694977,BG-0100,MD,0,0,0
694980,TA-1050,RE,-2,0,0
694984,DH-1700,RG,-1,0,0
694989,DH-1700,RE,6,1,0
694997,BG-0100,NL,0,0,1
694998,BG-0100,NL,0,0,1
694999,BG-0100,NL,-1,0,1
695000,BG-0100,NL,-1,0,1
695003,DH-1700,MD,1,0,0
695005,BG-0100,MD,0,0,0
695010,TM-0650,RG,11,1,0
695011,TM-0650,MD,3,0,0
695013,BC-3070,MD,1,1,0
695015,TM-0650,MD,-2,0,0
695017,TM-0650,RG,4,1,0
695018,BC-3070,RT,-3,0,0
695019,BC-3070,MD,0,0,0
695027,MT-1300,MD,5,1,0
695028,MT-1300,MD,4,1,0
695029,MT-1300,MD,4,1,0
695033,MT-1300,RG,4,0,0
695039,DM-0450,MD,3,0,0
695040,DM-0450,MD,-2,0,0
695043,DM-0450,RT,2,1,0
695044,DM-0450,LT,5,1,0
695045,DM-0450,RG,1,0,0
695048,CA-1175,RE,1,0,0
695054,DM-0450,MD,5,0,0
695058,CA-1175,MD,2,0,0
695063,CA-1175,RE,2,1,0
695064,CN-0500,RG,1,0,0
695065,MT-1300,LT,9,1,0
695067,CN-0500,RE,1,1,0
695070,DM-0450,LG,1,0,0
695077,MT-1300,MD,0,0,0
695084,CA-1175,MD,3,0,0
695086,CA-1175,RT,1,0,0
695088,CN-0500,MD,2,1,0
695089,CA-1175,LG,9,1,0
695090,CA-1175,RT,11,1,0
695093,DM-0450,RG,2,0,0
695094,DM-0450,LT,-6,0,0
695097,MT-1300,RT,0,0,0
695098,MT-1300,MD,18,1,0
695118,JW-5650,MD,6,1,0
695119,DM-0450,LT,0,0,0
695121,DM-0450,MD,2,0,0
695125,CN-0500,LE,1,0,0
695128,MT-1300,RT,13,0,0
695130,MT-1300,MD,2,1,0
695131,CN-0500,MD,1,1,0
695135,DM-0450,MD,3,1,0
695136,DM-0450,MD,30,1,0
695137,CS-1950,RT,3,0,0
695139,CS-1950,LG,12,1,0
695140,CS-1950,RT,-4,0,0
695142,JW-5650,LE,4,1,0
695146,CA-1175,RE,6,1,0
695147,CA-1175,LT,5,1,0
695148,CA-1175,MD,2,0,0
695150,CN-0500,RG,4,1,0
695152,DM-0450,RT,-2,0,0
695157,DM-0450,LG,4,0,0
695161,CA-1175,RG,2,1,0
695162,CA-1175,LT,2,0,0
695165,CA-1175,MD,-2,0,0
695167,CA-1175,RE,0,0,0
695180,CS-1950,RT,4,0,0
695185,JW-5650,MD,4,0,0
695189,DA-1300,NL,-1,0,1
695190,DA-1300,NL,-1,0,1
695192,AP-0700,LT,1,0,0
695193,AP-0700,RG,10,1,0
695195,AP-0700,LE,-1,0,0
695197,AT-0350,LE,41,1,0
695203,EL-0010,LE,1,0,0
695204,EL-0010,RT,11,1,0
695206,EL-0010,RE,-1,0,0
695207,JK-2200,RG,3,0,0
695208,AR-1300,MD,2,0,0
695209,EL-0010,LG,2,1,0
695210,EL-0010,RE,6,1,0
695212,EL-0010,LT,4,1,0
695213,EL-0010,LE,5,1,0
695214,JS-6200,RE,5,1,0
695220,AP-0700,MD,6,1,0
695221,AP-0700,LT,2,0,0
695225,JS-6200,RG,2,1,0
695227,JS-6200,LE,2,0,0
695230,AP-0700,RT,0,0,0
695231,AP-0700,RE,2,0,0
695233,AP-0700,MD,2,0,0
695237,EL-0010,LT,-2,0,0
695244,AP-0700,MD,3,0,0
695245,AP-0700,RG,3,0,0
695246,AP-0700,RT,2,0,0
695265,AR-1300,NL,-1,0,1
695267,EL-0010,MD,5,1,0
695268,EL-0010,LT,-5,0,0
695273,AP-0700,LG,10,1,0
695274,AT-0350,RE,26,1,0
695275,AP-0700,RE,5,1,0
695276,AP-0700,MD,3,1,0
695277,AP-0700,MD,3,1,0
695280,EL-0010,RE,0,0,0
695284,AP-0700,MD,6,1,0
695286,AP-0700,RE,3,0,0
695287,TB-2650,RE,2,0,0
695289,EL-0010,LT,4,1,0
695290,EL-0010,LG,4,1,0
695298,JS-6200,RT,2,0,0
695300,JS-6200,LT,7,1,0
695301,JS-6200,LE,-1,0,0
695304,JS-6200,MD,3,0,0
695305,JS-6200,RE,4,0,0
695306,AR-1300,MD,11,1,0
695311,JM-3450,RE,10,1,0
695312,JM-3450,MD,6,1,0
695313,JM-3450,LT,1,0,0
695314,JM-3450,RE,-2,0,0
695322,RC-1500,RE,3,0,0
695335,TB-2650,MD,0,0,0
695336,AP-0700,LE,5,1,0
695337,AP-0700,MD,2,0,0
695350,AB-1975,MD,4,1,0
695357,AS-1600,MD,5,1,0
695358,SW-0350,MD,2,1,0
695359,AW-1650,RE,9,1,0
695360,CW-1450,MD,1,1,0
695365,AB-1975,LG,0,0,0
695366,AB-1975,RG,2,0,0
695368,SW-0350,RG,5,1,0
695371,AB-1975,MD,2,0,0
695373,AB-1975,RT,4,1,0
695376,AB-1975,LG,2,0,0
695377,AB-1975,LG,3,0,0
695379,AB-1975,LE,0,0,0
695380,AB-1975,MD,3,0,0
695383,CW-1450,LG,3,0,0
695384,CW-1450,RG,3,0,0
695388,AH-3875,RT,0,0,0
695396,SW-0350,LG,1,0,0
695397,CW-1450,MD,6,1,0
695398,AW-1650,LE,2,0,0
695402,JP-4187,MD,2,0,0
695403,AB-1975,RT,49,1,0
695404,JG-3850,RT,8,1,0
695406,AB-1975,MD,3,1,0
695407,JW-1100,RG,-1,0,0
695410,CW-1450,MD,2,0,0
695413,JG-3850,LT,1,0,0
695415,CW-1450,LG,5,1,0
695416,SW-0350,RG,23,1,0
695418,SW-0350,RG,3,1,0
695419,CW-1450,LE,0,0,0
695421,BH-1900,NL,-1,0,1
695423,AB-1975,RT,4,1,0
695426,AB-1975,RG,3,0,0
695427,AB-1975,LT,5,1,0
695430,AB-1975,RT,13,1,0
695431,AB-1975,RT,0,0,0
695436,AS-1600,LE,11,1,0
695437,SW-0350,LT,1,0,0
695443,SW-0350,LG,12,1,0
695445,SW-0350,RG,2,0,0
695453,SW-0350,LG,6,1,0
695454,AS-1600,LE,5,1,0
695455,SW-0350,RG,-1,0,0
695457,CW-1450,MD,6,1,0
695458,SW-0350,MD,0,0,0
695459,SW-0350,LT,-2,0,0
695460,SW-0350,RT,5,1,0
695466,JG-3850,MD,3,0,0
695471,JG-3850,RG,3,0,0
695475,SW-0350,RG,5,1,0
695476,AS-1600,LE,3,1,0
695477,AS-1600,LE,3,1,0
695478,SW-0350,LT,3,1,0
695483,SW-0350,RG,2,0,0
695484,KD-0450,RG,1,0,0
695488,AB-1975,RT,2,0,0
695492,KD-0450,RE,5,1,0
695493,KD-0450,RT,2,0,0
695494,KD-0450,RT,4,1,0
695495,CD-0300,NL,-1,0,1
695496,CD-0300,NL,-1,0,1
695499,FT-0300,LT,-1,0,0
695503,JH-4025,LG,0,0,0
695507,FT-0300,LT,9,1,0
695513,JH-4025,RT,-1,0,0
695520,JH-4025,RE,-1,0,0
695524,FT-0300,RG,9,1,0
695525,FT-0300,MD,-1,0,0
695527,FT-0300,RT,6,1,0
695528,JT-3000,MD,14,1,0
695529,JT-3000,RE,9,1,0
695530,FT-0300,MD,5,1,0
695531,JT-3000,RT,0,0,0
695532,JT-3000,RG,4,0,0
695535,JH-4025,LT,2,0,0
695539,FT-0300,LE,2,0,0
695543,AM-1150,MD,0,0,0
695545,GB-0350,RG,14,0,0
695547,FT-0300,LT,4,1,0
695549,FT-0300,LT,1,0,0
695553,JH-4025,RT,-3,0,0
695556,FT-0300,RT,4,1,0
695557,JT-3000,RG,8,1,0
695558,JT-3000,RT,0,0,0
695574,FT-0300,RG,0,0,0
695578,AM-1150,NL,-1,0,1
695580,JH-4025,LT,2,0,0
695584,JH-4025,MD,38,1,0
695586,MB-4550,LE,44,1,0
695587,JT-3000,RG,4,1,0
695588,JT-3000,RT,-1,0,0
695592,GB-0350,RG,0,0,0
695594,GB-0350,MD,-1,0,0
695598,FT-0300,LT,7,1,0
695599,FT-0300,RT,5,1,0
695600,FT-0300,RG,0,0,0
695602,FT-0300,RG,0,0,0
695608,GB-0350,MD,12,1,0
695609,GB-0350,LG,2,0,0
695613,GB-0350,MD,1,0,0
695617,JT-3000,RT,2,0,0
695623,JH-4025,RG,3,1,0
695624,JH-4025,RG,1,1,0
695628,JT-3000,LE,25,1,0
695629,FT-0300,LE,4,1,0
695635,RB-4670,LG,4,1,0
695636,AM-1150,LE,6,1,0
695638,AM-1150,MD,1,0,0
695641,JH-4025,MD,1,1,0
695642,JH-4025,RG,2,0,0
695648,JT-3000,RE,0,0,0
695655,AM-1150,LT,3,0,0
695661,JH-4025,RG,6,0,0
695668,FT-0300,LT,4,0,0
695675,AP-0700,LG,-1,0,0
695678,AP-0700,RG,2,0,0
695683,TB-2650,MD,2,1,0
695684,AP-0700,MD,0,0,0
695686,AP-0700,RT,-2,0,0
695688,CM-2280,LT,3,0,0
695691,JR-3700,MD,0,0,0
695692,AP-0700,RE,3,0,0
695693,AP-0700,RT,6,1,0
695694,AP-0700,RG,2,1,0
695695,AP-0700,LE,-2,0,0
695698,AP-0700,MD,1,0,0
695699,AP-0700,MD,2,0,0
695703,CM-2280,MD,11,1,0
695704,CM-2280,LT,5,1,0
695705,CM-2280,LG,-2,0,0
695707,CM-2280,MD,6,1,0
695709,RW-3850,MD,2,0,0
695711,AP-0700,LE,4,1,0
695712,AP-0700,LT,2,0,0
695716,CM-2280,LE,1,0,0
695717,RW-3850,LE,11,1,0
695718,CM-2280,MD,2,0,0
695723,AP-0700,LE,13,1,0
695725,AP-0700,RE,1,0,0
695730,CM-2280,MD,2,0,0
695732,FJ-0100,MD,2,0,0
695736,TB-2650,NL,-1,0,1
695737,TB-2650,NL,-1,0,1
695740,CM-2280,LG,0,0,0
695742,RW-3850,LE,4,1,0
695745,CM-2280,RT,8,1,0
695746,CM-2280,RT,1,0,0
695747,CM-2280,MD,-2,0,0
695750,AP-0700,LG,3,0,0
695751,AP-0700,RE,-7,0,0
695757,CM-2280,RG,13,0,0
695759,AP-0700,RE,3,0,0
695761,AP-0700,MD,2,0,0
695762,SD-0537,LE,6,1,0
695764,AP-0700,MD,3,0,0
695765,JM-3450,LG,1,0,0
695771,CM-2280,MD,3,0,0
695772,RW-3850,RE,5,1,0
695775,CM-2280,MD,1,0,0
695782,CM-2280,RT,3,0,0
695785,CM-2280,RT,1,0,0
695789,AP-0700,LT,1,0,0
695793,CM-2280,MD,6,1,0
695794,CM-2280,LG,3,1,0
695798,JM-3450,MD,6,1,0
695803,CM-2280,LG,4,1,0
695804,CM-2280,MD,1,0,0
695810,AP-0700,MD,2,0,0
695811,AP-0700,MD,4,0,0
695812,AP-0700,LG,3,0,0
695814,RW-3850,NL,-1,0,1
695818,EL-0010,RT,1,0,0
695822,AM-2850,RG,2,0,0
695826,EL-0010,LT,1,0,0
695831,AM-2850,RG,5,1,0
695832,AM-2850,RG,5,1,0
695836,AM-2850,LG,0,0,0
695837,AM-2850,LT,-1,0,0
695842,EL-0010,RT,2,0,0
695847,PT-0400,RG,7,0,0
695850,RC-1500,RE,1,0,0
695854,AM-2850,RT,7,1,0
695858,AM-2850,LT,-4,0,0
695863,JS-6200,RE,-1,0,0
695868,JS-6200,RT,1,1,0
695870,RC-1500,LE,7,1,0
695875,PT-0400,LE,2,0,0
695879,CT-1220,RT,25,1,0
695884,EL-0010,RE,2,1,0
695887,JS-6200,LG,3,1,0
695891,AM-2850,MD,3,0,0
695906,KC-2350,NL,-1,0,1
695909,AM-2850,MD,19,1,0
695910,PT-0400,LE,-4,0,0
695916,KC-2350,RT,3,1,0
695920,JK-2200,LT,2,1,0
695925,RC-1500,LE,9,1,0
695926,JK-2200,MD,0,0,0
695927,EL-0010,LE,11,1,0
695928,EL-0010,LT,30,1,0
695929,JS-6200,RE,4,1,0
695933,PT-0400,RE,2,0,0
695936,RC-1500,LT,4,1,0
695937,RC-1500,RE,3,0,0
695939,JS-6200,RE,-3,0,0
695941,JS-6200,RG,11,1,0
695942,JS-6200,RE,7,1,0
695943,JS-6200,RG,3,1,0
695945,JS-6200,LE,22,1,0
695946,EL-0010,MD,2,1,0
695949,AM-2850,RG,2,0,0
695951,AM-2850,LE,12,1,0
695957,EL-0010,RT,-2,0,0
695959,EL-0010,RE,2,0,0
695960,EL-0010,LE,2,0,0
695969,JS-6200,RE,0,0,0
695970,JS-6200,RG,1,0,0
695971,JS-6200,RG,5,0,0
695982,EL-0010,MD,3,1,0
695983,EL-0010,RE,9,0,0
695990,AR-1300,NL,-1,0,1
696009,CW-1450,LG,3,0,0
696010,CW-1450,LG,4,0,0
696013,AS-1600,RE,-3,0,0
696014,AS-1600,LT,15,1,0
696015,KD-0450,LT,6,1,0
696017,CW-1450,LE,6,1,0
696018,CW-1450,RG,4,1,0
696026,SJ-0200,LG,2,0,0
696030,CW-1450,RT,11,1,0
696032,CW-1450,MD,3,1,0
696033,CW-1450,MD,3,1,0
696034,KD-0450,LT,3,0,0
696049,SJ-0200,LG,2,0,0
696054,SJ-0200,LG,8,1,0
696055,SJ-0200,MD,4,1,0
696057,TB-2300,RE,10,1,0
696058,TB-2300,MD,1,1,0
696062,CW-1450,LT,17,1,0
696064,CW-1450,LG,3,0,0
696066,KD-0450,RE,3,0,0
696068,AS-1600,RG,2,1,0
696075,TB-2300,NL,-1,0,1
696077,AS-1600,LT,0,0,0
696083,KD-0450,MD,5,1,0
696084,KD-0450,LE,11,1,0
696085,CW-1450,LE,2,0,0
696088,JE-0100,LE,11,1,0
696095,CW-1450,LG,3,0,0
696097,KD-0450,LE,2,0,0
696100,CW-1450,MD,3,0,0
696101,AS-1600,RE,7,1,0
696102,CW-1450,LG,-1,0,0
696111,JW-2550,RE,5,1,0
696118,CW-1450,MD,0,0,0
696124,SJ-0200,LT,2,0,0
696133,CW-1450,RT,0,0,0
696141,AS-1600,RE,2,0,0
696148,AS-1600,LE,9,1,0
696150,AS-1600,LE,6,1,0
696151,AS-1600,MD,6,1,0
696153,CW-1450,RG,-1,0,0
696158,CW-1450,RE,1,1,0
696161,SJ-0200,MD,-2,0,0
696163,TB-2300,NL,-2,0,1
696164,TB-2300,NL,-1,0,1
696165,TB-2300,NL,-1,0,1
696167,DJ-1325,RT,1,0,0
696172,EL-0010,MD,5,0,0
696177,DJ-1325,MD,3,0,0
696179,DJ-1325,LE,2,1,0
696183,DJ-1325,MD,2,1,0
696189,EL-0010,MD,1,0,0
696193,AE-0750,RT,5,1,0
696194,AE-0750,MD,1,0,0
696198,JS-6200,RT,8,1,0
696199,JS-6200,LT,6,1,0
696201,AR-1300,RE,19,1,0
696203,JS-6200,MD,-1,0,0
696213,EL-0010,LT,0,0,0
696214,AR-1300,RE,2,0,0
696220,DJ-1325,MD,0,0,0
696224,EL-0010,LT,-1,0,0
696227,EL-0010,RT,6,1,0
696229,EL-0010,LE,1,0,0
696235,EL-0010,MD,-1,0,0
696244,DJ-1325,MD,8,0,0
696246,EL-0010,LE,0,0,0
696249,DJ-1325,RT,-1,0,0
696253,EL-0010,MD,14,1,0
696254,EL-0010,MD,61,1,0
696255,JS-6200,LE,0,0,0
696264,DJ-1325,MD,1,0,0
696266,JB-6950,RE,2,0,0
696273,EL-0010,RE,2,0,0
696279,DJ-1325,MD,2,0,0
696281,DJ-1325,MD,2,0,0
696285,JS-6200,RT,1,0,0
696287,JS-6200,MD,9,1,0
696288,JK-2200,MD,2,1,0
696289,JS-6200,LT,0,0,0
696295,AE-0750,LT,-3,0,0
696297,DJ-1325,MD,3,0,0
696300,DJ-1325,MD,8,1,0
696301,DJ-1325,MD,-2,0,0
696310,EL-0010,RT,1,0,0
696313,DJ-1325,MD,2,0,0
696315,DJ-1325,RE,4,0,0
696331,JS-6700,LG,59,1,0
696332,CA-1175,MD,2,1,0
696333,CN-0500,LT,4,1,0
696334,JS-6700,MD,4,1,0
696337,ML-2500,MD,-3,0,0
696341,ML-2500,MD,5,1,0
696343,ML-2500,LG,1,0,0
696347,JS-6700,LT,2,0,0
696349,JS-6700,MD,5,1,0
696350,MT-1300,LT,4,1,0
696351,JS-6700,RG,1,1,0
696353,CN-0500,RG,5,0,0
696355,CN-0500,MD,0,0,0
696358,JS-6700,LG,8,1,0
696359,MT-1300,MD,1,0,0
696361,JS-6700,LT,4,1,0
696362,JS-6700,MD,1,1,0
696367,CN-0500,LT,-2,0,0
696371,ML-2500,RG,0,0,0
696375,JS-6700,RT,0,0,0
696378,JS-6700,LG,4,1,0
696379,CN-0500,MD,2,1,0
696380,TG-0900,LE,11,1,0
696381,JS-6700,LT,-4,0,0
696387,FJ-0100,MD,3,1,0
696390,FJ-0100,MD,6,1,0
696392,RW-3850,MD,9,1,0
696399,MT-1300,RG,2,0,0
696400,MT-1300,MD,2,0,0
696401,MT-1300,MD,3,0,0
696403,ML-2500,LG,9,1,0
696416,CA-1175,RE,3,0,0
696418,CN-0500,RT,3,0,0
696419,JS-6700,LG,2,0,0
696424,RW-3850,RT,14,1,0
696427,RW-3850,RG,9,0,0
696431,CA-1175,LG,2,0,0
696433,JS-6700,RG,3,0,0
696435,JS-6700,LG,5,1,0
696442,DS-1730,RE,17,1,0
696448,JS-6700,LG,4,1,0
696449,CN-0500,MD,3,1,0
696452,JS-6700,MD,-1,0,0
696455,JS-6700,RE,3,1,0
696456,CN-0500,MD,-5,0,0
696463,ML-2500,LG,8,1,0
696469,JS-6700,RE,3,1,0
696471,MT-1300,LG,0,0,0
696472,JS-6700,LG,3,0,0
696473,MT-1300,MD,5,0,0
696489,CN-0500,NL,-4,0,1
696490,CN-0500,NL,-2,0,1
696491,CN-0500,NL,-1,0,1
696494,JT-3000,RE,2,0,0
696499,RH-2350,RT,5,0,0
696504,JT-3000,LE,3,0,0
696506,JT-3000,RG,1,0,0
696511,RH-2350,RG,4,1,0
696512,RH-2350,MD,0,0,0
696514,FT-0300,MD,5,1,0
696519,RH-2350,LT,9,1,0
696520,RH-2350,RT,-1,0,0
696524,FT-0300,RG,1,0,0
696526,MB-4550,LE,40,1,0
696527,FT-0300,LT,15,1,0
696528,FT-0300,RG,1,1,0
696536,CA-0750,RT,-1,0,0
696539,FT-0300,RG,4,1,0
696540,FT-0300,MD,1,0,0
696542,FT-0300,RT,4,1,0
696547,RH-2350,RT,5,1,0
696548,RH-2350,RG,1,0,0
696552,FT-0300,RT,1,0,0
696562,MB-4550,LE,0,0,0
696564,CA-0750,MD,1,0,0
696565,CA-0750,LG,34,1,0
696566,RH-2350,LT,1,0,0
696570,CA-0750,MD,7,1,0
696573,PM-0200,MD,0,0,0
696576,CA-0750,RG,2,0,0
696577,CA-0750,RT,1,0,0
696579,RH-2350,RG,1,0,0
696594,RH-2350,RT,-1,0,0
696597,FT-0300,RT,-1,0,0
696598,FT-0300,MD,0,0,0
696599,JT-3000,MD,5,0,0
696603,CA-0750,LG,11,1,0
696613,FT-0300,LT,9,1,0
696615,JT-3000,RT,-5,0,0
696622,RH-2350,LT,-4,0,0
696628,FT-0300,LT,-1,0,0
696629,CA-0750,LG,2,0,0
696630,CA-0750,RT,6,1,0
696633,RH-2350,RT,3,0,0
696635,RH-2350,LT,3,1,0
696636,CA-0750,RE,4,1,0
696638,RH-2350,RT,5,1,0
696639,RH-2350,LG,7,1,0
696640,RH-2350,RG,0,0,0
696641,CA-0750,MD,1,0,0
696642,CA-0750,MD,1,1,0
696650,CA-0750,RT,-1,0,0
696651,CA-0750,MD,0,0,0
696652,CA-0750,RT,4,0,0
696661,PM-0200,NL,-1,0,1
696665,JW-2550,LG,2,0,0
696672,RH-2350,RG,-1,0,0
696674,CA-0750,MD,2,0,0
696675,CA-0750,RT,2,0,0
696677,RH-2350,LT,7,1,0
696679,RH-2350,LG,-1,0,0
696688,RH-2350,LT,-1,0,0
696691,SJ-0200,MD,5,1,0
696695,RH-2350,MD,2,0,0
696696,PM-0200,MD,0,0,0
696698,SJ-0200,RG,1,1,0
696701,CA-0750,RE,3,0,0
696704,RH-2350,LT,1,0,0
696711,RH-2350,MD,4,0,0
696718,JW-2550,RG,2,0,0
696721,BB-2250,MD,0,0,0
696723,SJ-0200,MD,0,0,0
696725,TB-2300,RE,11,1,0
696731,CA-0750,LG,3,0,0
696732,CA-0750,RG,2,0,0
696735,BB-2250,MD,4,1,0
696736,BB-2250,MD,1,0,0
696741,CA-0750,MD,7,0,0
696743,SJ-0200,MD,2,0,0
696746,JW-2550,MD,8,0,0
696748,CA-0750,LT,9,1,0
696755,TB-2300,NL,-1,0,1
696757,RH-2350,LT,0,0,0
696759,CA-0750,MD,8,0,0
696766,JW-2550,MD,0,0,0
696770,CA-0750,MD,0,0,0
696772,PM-0200,RT,12,1,0
696774,RH-2350,LT,2,0,0
696776,CA-0750,LE,0,0,0
696779,BB-2250,RG,3,0,0
696783,RH-2350,MD,3,0,0
696788,TB-2300,MD,3,1,0
696796,CA-0750,LT,30,1,0
696797,CA-0750,RT,8,1,0
696798,RH-2350,RG,0,0,0
696800,CA-0750,RT,-3,0,0
696807,BB-2250,MD,4,1,0
696812,JW-2550,MD,-1,0,0
696816,CA-0750,LG,1,0,0
696831,CA-0750,RT,2,0,0
696832,CA-0750,LT,-2,0,0
696845,PM-0200,NL,-1,0,1
696847,DJ-1325,LT,0,0,0
696848,DJ-1325,RE,3,0,0
696851,JS-6700,RG,3,0,0
696853,CN-0500,MD,1,0,0
696864,DJ-1325,RT,-2,0,0
696869,JS-6700,MD,6,1,0
696872,JS-6700,LG,2,1,0
696873,TG-0900,LE,22,1,0
696878,DJ-1325,LT,5,1,0
696879,DJ-1325,RG,1,0,0
696884,JS-6700,LT,2,0,0
696889,DJ-1325,RE,14,1,0
696891,DJ-1325,RE,23,1,0
696892,AE-0750,LG,0,0,0
696896,JS-6700,MD,-1,0,0
696899,DJ-1325,RE,-6,0,0
696903,DJ-1325,LG,2,1,0
696904,DJ-1325,RT,15,1,0
696905,DJ-1325,RG,0,0,0
696908,DJ-1325,LT,2,1,0
696909,DJ-1325,MD,1,1,0
696912,CN-0500,RT,7,1,0
696917,JS-6700,MD,17,1,0
696918,JS-6700,MD,23,1,0
696919,MT-1300,MD,-1,0,0
696920,JS-6700,RG,1,0,0
696921,CN-0500,MD,1,1,0
696925,JS-6700,LG,0,0,0
696928,CN-0500,NL,-1,0,1
696929,CN-0500,NL,-1,0,1
696932,CN-0500,LG,4,1,0
696933,JS-6700,RE,4,1,0
696937,JS-6700,RT,-1,0,0
696939,JS-6700,MD,3,0,0
696944,DJ-1325,RT,2,0,0
696948,JS-6700,MD,2,0,0
696950,CN-0500,RT,-1,0,0
696954,CN-0500,RE,11,1,0
696955,CN-0500,RE,12,1,0
696963,DJ-1325,LE,0,0,0
696970,JS-6700,MD,-1,0,0
696981,JS-6700,LT,1,0,0
696983,MT-1300,RG,2,0,0
696984,MT-1300,LG,3,0,0
696986,CN-0500,MD,14,1,0
696987,JS-6700,MD,3,1,0
696988,JS-6700,MD,1,0,0
696998,JS-6700,MD,8,1,0
696999,JS-6700,RG,10,1,0
697000,FW-0750,LT,-2,0,0
697001,FW-0750,MD,0,0,0
697002,DA-1300,NL,-1,0,1
697003,DA-1300,NL,-1,0,1
697014,CA-0750,MD,8,1,0
697015,CA-0750,LT,12,1,0
697016,RH-2350,RG,-3,0,0
697021,JS-6700,RE,2,0,0
697026,CA-0750,LT,2,1,0
697030,JS-6700,MD,0,0,0
697034,FW-0750,LE,15,1,0
697035,MT-1300,LG,2,0,0
697038,FW-0750,MD,1,0,0
697043,CA-0750,RG,0,0,0
697046,JS-6700,LG,0,0,0
697049,CN-0500,LT,11,1,0
697051,CN-0500,RE,12,1,0
697052,JS-6700,MD,2,1,0
697055,JS-6700,LG,1,1,0
697063,JS-6700,MD,2,0,0
697068,CA-0750,MD,2,1,0
697069,CA-0750,MD,0,0,0
697074,CN-0500,LG,14,1,0
697075,MT-1300,RT,11,0,0
697077,CA-0750,RG,34,1,0
697078,RH-2350,LE,3,0,0
697079,RH-2350,MD,-1,0,0
697082,FW-0750,RT,0,0,0
697086,CA-0750,LG,0,0,0
697089,CN-0500,RT,3,0,0
697095,CN-0500,RG,6,1,0
697099,JS-6700,LG,0,0,0
697102,FW-0750,RT,10,1,0
697103,MT-1300,MD,1,0,0
697105,CN-0500,LG,-1,0,0
697110,CA-0750,LT,2,0,0
697113,CA-0750,LG,0,0,0
697120,JS-6700,RE,6,1,0
697123,CA-0750,MD,13,1,0
697124,CA-0750,RT,0,0,0
697126,RH-2350,LE,2,0,0
697128,JS-6700,RT,0,0,0
697135,CA-0750,RT,0,0,0
697138,CA-0750,MD,1,0,0
697141,JS-6700,LT,12,1,0
697142,JS-6700,LG,3,0,0
697143,MT-1300,RG,3,0,0
697149,CA-0750,RT,2,0,0
697152,JS-6700,RT,1,0,0
697157,RH-2350,RT,-1,0,0
697158,CA-0750,LT,2,0,0
697159,CA-0750,RG,2,0,0
697161,MT-1300,RG,1,0,0
697164,CA-0750,RT,-2,0,0
697165,CA-0750,RG,2,0,0
697167,CA-0750,MD,2,1,0
697174,CA-0750,LE,0,0,0
697175,CA-0750,RG,3,0,0
697176,CA-0750,MD,5,0,0
