tid,gid,tname,pts,q1p,q2p,q3p,q4p,rfd,pfd,ifd,ry,ra,py,pa,pc,sk,ints,fum,pu,gpy,pr,pry,kr,kry,ir,iry,pen,top,td,tdr,tdp,tdt,fgm,fgat,fgy,rza,rzc,bry,bpy,srp,s1rp,s2rp,s3rp,spp,s1pp,s2pp,s3pp,lea,ley,lta,lty,lga,lgy,mda,mdy,rga,rgy,rta,rty,rea,rey,r1a,r1y,r2a,r2y,r3a,r3y,qba,qby,sla,sly,sma,smy,sra,sry,dla,dly,dma,dmy,dra,dry,wr1a,wr1y,wr3a,wr3y,tea,tey,rba,rby,sga,sgy,p1a,p1y,p2a,p2y,p3a,p3y,spc,mpc,lpc,q1ra,q1ry,q1pa,q1py,lcra,lcry,lcpa,lcpy,rzra,rzry,rzpa,rzpy,sky,lbs,dbs,sfpy,drv,npy,tb,i20,rtd,lnr,lnp,lbr,lbp,dbr,dbp,nha,s3a,s3c,l3a,l3c,stf,dp,fsp,ohp,pbep,dlp,dsp,dum,pfn,snpo,snpd
8485,4243,STL,16,3,13,0,0,9,11,1,133,33,231,38,22,0,0,0,5,259,2,6,3,53,1,42,105,38.5,1,1,0,0,3,5,109,3,1,77,54,16,7,7,2,17,8,8,1,3,17,3,5,1,2,11,68,6,15,2,1,7,25,17,45,12,86,4,2,1,2,17,109,2,8,11,42,2,0,2,18,4,54,13,111,11,39,10,49,4,32,23,102,15,127,13,95,10,9,4,16,2,6,21,7,75,10,20,12,64,3,8,3,0,0,0,0,331,12,239,1,1,0,11.5,2,1.5,1.5,15,24.5,1,4,2,5,0,9,0,1,2,3,1,2,5,0,71,81
8486,4243,SF,19,0,10,3,3,5,13,3,112,35,350,44,28,1,1,0,5,195,0,0,3,65,0,0,60,33,1,0,1,0,4,4,115,4,0,60,244,12,5,5,2,19,6,7,6,1,1,1,-1,7,12,9,44,2,4,4,24,5,19,14,38,12,22,3,43,3,9,13,85,3,5,23,156,2,64,0,0,3,44,16,132,3,77,7,42,18,103,41,432,16,44,14,163,15,143,12,7,9,6,16,7,45,11,18,22,187,6,5,6,10,4,0,0,358,13,169,1,3,0,8,1.5,13,9.5,11,11,4,3,2,11,4,13,0,2,1,1,1,0,3,0,81,71
8487,4244,TB,10,3,0,7,0,4,16,1,77,22,309,47,29,2,2,1,4,147,1,0,0,0,0,0,65,28,1,1,0,0,1,1,39,3,1,42,145,7,3,2,2,21,7,7,7,1,4,3,-1,3,17,8,51,2,3,5,3,0,0,11,24,9,11,2,42,3,14,18,127,3,36,18,57,3,26,0,0,5,79,9,99,10,31,10,61,18,134,42,295,19,90,14,111,16,108,8,14,7,6,14,6,40,0,0,0,0,2,8,6,16,16,2,1,233,10,142,0,1,0,8.5,1,11.5,9.5,6,11.5,17,2,2,10,4,7,0,0,2,0,1,2,1,0,74,64
8488,4244,CAR,38,0,24,7,7,10,12,1,113,34,255,26,21,4,0,2,2,76,2,5,2,51,2,46,33,32,5,3,2,0,1,1,49,4,4,42,134,16,5,7,4,19,7,9,3,1,1,3,16,1,9,12,41,4,11,4,25,5,10,14,36,11,45,5,32,6,10,11,103,0,0,10,118,1,0,0,0,4,72,6,58,12,197,5,16,3,22,45,464,13,92,12,127,5,36,4,8,9,6,20,13,93,0,0,0,0,9,36,3,21,38,0,0,427,11,76,0,1,0,5.5,3,10,13,5.5,14,36,3,3,6,3,4,0,1,0,3,2,1,0,0,64,74
8489,4245,MIN,20,3,3,14,0,6,5,3,151,27,91,19,10,3,1,1,4,159,3,21,2,94,1,0,37,24.5,2,1,0,1,2,2,71,2,1,97,22,12,7,3,2,5,3,1,1,3,44,3,4,1,10,9,31,2,13,2,2,7,46,15,78,9,27,3,45,2,2,1,1,7,58,5,40,1,0,0,0,3,0,5,30,4,37,3,-2,5,34,18,76,7,42,6,9,9,40,2,5,3,6,58,6,8,3,7,0,0,4,13,2,-5,8,1,0.5,248,9,149,0,4,0,10,5,8.5,8.5,6.5,18.5,1,2,1,7,1,5,7,0,0,2,1,1,0,1,48,79
8490,4245,GB,13,3,0,0,10,5,13,1,77,27,274,44,28,5,1,1,4,178,1,10,1,26,1,0,54,35.5,1,0,1,0,2,2,71,4,1,22,118,13,6,4,3,18,10,6,2,4,7,5,8,2,6,4,21,2,5,2,13,6,17,11,30,10,27,4,20,2,13,14,56,8,67,11,57,6,25,2,54,2,32,8,37,19,156,9,59,7,39,49,270,18,140,14,112,17,22,10,10,8,10,38,5,36,0,0,16,84,0,0,10,14,17,1,1,297,12,157,0,1,0,10.5,1,6.5,6,8,6,35,4,2,6,0,7,0,1,2,1,1,1,1,1,79,48
8491,4246,KC,30,7,6,7,10,8,8,2,143,39,173,22,17,3,1,0,4,181,4,34,1,106,4,35,52,34.5,3,1,1,0,3,3,131,3,2,46,73,21,10,8,3,14,7,6,1,6,24,3,2,5,27,7,22,9,43,3,11,2,14,17,73,13,59,5,11,5,27,8,64,3,34,7,28,2,0,2,64,0,0,8,38,2,12,10,128,2,12,33,229,10,57,9,104,6,12,5,7,5,5,22,8,30,0,0,0,0,6,12,2,12,17,0,0,378,11,181,0,3,1,8.5,3,5.5,1,10,12,0,3,2,3,0,6,0,0,2,0,0,3,0,2,63,64
8492,4246,HOU,0,0,0,0,0,3,10,1,115,26,112,34,15,3,4,1,5,228,0,0,0,0,1,0,29,25.5,0,0,0,0,0,0,0,1,0,62,0,10,5,4,1,12,4,3,5,1,0,2,6,3,5,6,17,4,7,8,71,0,0,15,32,8,71,1,3,0,0,11,67,4,4,12,32,2,0,2,0,3,33,17,72,5,22,9,30,3,12,46,174,10,42,13,50,14,20,5,6,4,9,20,8,15,0,0,0,0,3,10,2,0,24,3,0,231,12,194,0,1,0,11.5,1.5,14.5,8,8,9.5,0,2,2,10,2,7,0,0,1,0,1,0,2,0,64,63
8493,4247,PIT,18,0,6,9,3,6,10,5,167,29,202,36,20,4,1,1,7,293,2,8,1,16,1,35,142,30.5,1,0,1,0,4,4,138,4,1,83,134,15,10,5,0,15,6,6,3,4,71,6,24,0,0,3,18,7,25,7,16,2,9,17,101,11,58,1,4,0,0,12,117,7,38,11,61,3,0,1,24,2,0,17,142,8,29,3,9,8,60,51,276,13,49,14,120,13,33,8,7,5,8,50,7,42,4,33,13,40,4,3,4,10,38,2,0,340,14,259,0,2,0,3,1.5,16,11,3,9.5,0,3,2,9,0,9,0,0,1,2,0,2,5,0,74,74
8494,4247,CIN,16,0,0,0,16,5,11,3,92,25,188,41,23,3,1,3,6,255,2,34,2,50,1,0,79,29.5,2,1,1,0,1,1,36,2,1,64,47,9,5,4,0,19,6,7,6,1,6,3,7,3,6,7,52,6,26,2,-4,1,-1,16,31,6,47,1,14,4,10,7,43,7,34,17,70,3,65,1,0,4,0,13,88,7,32,10,58,9,34,49,230,14,44,15,52,15,92,9,10,4,3,-2,8,48,7,23,14,98,2,4,0,0,24,1,1,466,15,247,0,3,0,9.5,2,11,5.5,8.5,15.5,0,2,1,10,3,8,0,2,1,0,0,2,4,0,74,74
8495,4248,SEA,10,0,0,0,10,2,9,2,98,29,129,26,13,2,1,0,5,177,3,10,1,12,0,0,65,27.5,1,0,1,0,1,1,46,1,1,35,57,10,7,3,0,9,3,1,5,3,16,2,8,4,5,12,34,1,13,4,13,1,5,13,56,10,25,4,13,4,22,10,41,3,59,7,20,2,0,0,0,4,22,11,60,6,49,3,0,6,33,36,228,8,65,7,-4,13,68,4,6,3,4,19,2,0,6,18,6,8,1,1,1,3,13,1.5,0,288,11,170,0,2,0,16,3,6,5.5,5,11.5,1,3,1,9,4,6,0,0,1,1,1,3,1,0,58,59
8496,4248,MIN,9,3,0,6,0,4,6,4,60,31,125,24,17,3,0,1,5,172,2,7,3,65,1,24,46,32.5,0,0,0,0,3,4,112,2,0,13,24,8,2,4,2,11,5,4,2,4,21,2,3,4,6,9,22,2,4,2,4,4,0,15,35,8,20,4,5,1,2,7,51,2,13,13,82,2,0,0,0,0,0,7,36,4,9,3,46,10,55,23,112,8,65,9,24,10,36,4,11,2,11,13,9,50,5,16,10,42,7,12,3,13,21,0,0,353,11,162,0,1,0,9,3,9.5,2,7.5,9,0,4,3,6,0,6,0,0,0,0,0,2,0,0,59,58
8497,4249,GB,35,0,17,7,11,11,11,2,142,33,205,36,21,1,0,1,4,181,2,29,1,22,0,0,23,29.5,4,2,2,0,2,2,72,5,4,74,54,17,8,8,1,20,8,9,3,5,51,4,37,1,3,3,5,4,20,4,2,10,24,15,82,13,44,3,16,0,0,8,44,5,43,14,69,5,20,1,34,1,0,8,38,19,143,4,11,3,18,45,289,17,89,11,83,9,33,3,15,3,4,5,9,6,5,45,0,0,6,19,4,22,5,3.5,0,336,13,176,0,1,0,4,3.5,5,9,7,21.5,23,5,3,6,0,8,0,1,0,0,0,0,1,1,75,72
8498,4249,WAS,18,5,6,7,0,5,14,1,85,19,270,46,29,6,0,1,5,253,1,5,5,96,0,0,55,30.5,2,1,1,0,1,1,25,4,1,56,125,7,3,2,2,19,8,7,4,3,10,2,-5,1,0,2,22,5,21,3,35,1,2,9,30,6,40,2,15,1,3,8,52,16,96,12,95,1,0,6,67,3,19,17,102,3,2,18,136,8,89,47,298,20,116,15,89,17,65,8,12,9,7,25,11,55,0,0,0,0,3,2,11,7,59,1,0,369,13,224,0,3,0,7,0,11.5,7,10.5,13,6,3,2,10,2,5,2,1,1,3,3,1,0,0,72,75
8499,4250,KC,20,3,3,7,7,10,14,3,135,32,243,49,29,1,0,1,3,107,2,27,3,90,0,0,40,38,2,1,1,0,2,2,66,4,2,54,52,16,7,4,5,21,8,5,8,6,36,5,41,5,12,6,20,3,5,2,11,5,10,18,71,9,31,5,33,9,44,15,80,9,61,14,53,3,26,1,0,5,26,14,80,15,104,10,33,8,29,62,366,15,78,18,50,17,115,11,14,4,7,35,9,29,0,0,0,0,5,9,10,39,3,0,0,256,9,85,0,2,0,1.5,2,1,1,6.5,22,10,3,3,13,6,6,0,1,2,2,0,0,1,0,89,58
8500,4250,NE,27,7,7,7,6,3,17,1,42,19,302,42,28,0,0,0,3,126,1,22,1,26,0,0,24,22,3,1,2,0,2,2,72,4,3,21,103,6,3,2,1,19,11,3,5,1,11,1,2,3,12,3,3,0,0,0,0,2,15,7,28,2,14,1,1,2,11,17,139,10,98,12,23,1,0,0,0,1,42,19,118,9,63,8,83,5,38,40,318,19,173,13,63,10,66,9,12,7,1,2,16,92,1,-2,4,12,5,25,7,26,0,0,0,300,10,79,1,0,0,13,4.5,8,2.5,7,20,10,1,1,8,4,1,0,1,0,1,0,3,1,0,58,89
8501,4251,GB,20,0,6,7,7,5,12,1,135,22,251,44,24,1,1,0,4,143,1,0,3,77,2,0,55,30,2,0,2,0,2,2,62,3,1,94,101,8,4,3,1,16,3,6,7,3,1,4,5,0,0,8,69,0,0,4,16,3,23,15,69,6,26,1,19,2,21,8,43,8,60,14,57,5,60,5,41,2,0,1,0,25,200,8,45,8,16,47,301,11,17,18,97,16,137,8,11,5,6,38,8,28,5,13,12,106,3,2,7,4,10,1,0,188,10,131,0,0,0,5,3,10,6.5,4,14.5,33,0,0,8,2,9,0,2,1,4,0,1,1,0,73,66
8502,4251,ARI,26,7,0,3,10,2,16,2,40,19,328,41,25,3,2,0,3,147,1,12,2,37,1,1,26,31,3,0,3,0,2,2,64,6,3,0,150,5,3,0,2,19,7,8,4,1,2,1,-3,0,0,12,30,0,0,3,5,2,6,13,25,2,-1,4,16,0,0,12,140,10,59,10,41,3,43,1,0,5,51,19,187,10,90,2,14,10,43,29,152,16,136,18,118,10,59,6,11,8,6,14,11,35,6,12,16,157,2,4,16,46,21,0,0,369,11,147,0,2,0,7.5,3,6,4,7.5,15,0,2,2,9,2,5,0,0,0,2,0,2,1,0,66,73
8503,4252,SEA,24,0,0,14,10,5,18,0,78,12,325,46,31,5,2,0,3,109,1,8,3,92,0,0,20,24.5,3,0,3,0,1,2,36,4,2,31,102,8,2,4,2,26,13,9,4,0,0,0,0,3,18,5,20,2,9,1,14,1,17,5,12,5,35,2,31,3,32,21,151,5,43,9,75,7,20,2,17,2,60,27,192,5,82,7,54,7,38,59,445,23,144,17,89,11,92,4,18,9,3,3,4,22,0,0,0,0,1,8,7,24,41,0,0,298,11,109,0,2,0,13.5,2,14.5,5.5,8,8.5,23,3,2,8,3,2,0,1,1,2,0,0,0,0,67,65
8504,4252,CAR,31,14,17,0,0,7,12,0,147,48,151,22,16,1,0,0,5,188,1,0,4,59,2,14,25,35.5,4,2,1,1,1,1,48,3,3,70,27,14,8,4,2,15,3,6,6,1,11,6,8,9,68,13,22,4,11,2,3,3,9,19,94,14,32,5,6,8,10,7,36,3,31,9,58,2,19,0,0,1,17,6,22,5,34,8,99,3,6,43,261,6,16,8,84,9,51,4,8,4,12,76,5,60,0,0,0,0,6,11,2,19,10,0,2,310,10,180,0,1,0,1.5,4,4.5,6,5,20,31,4,3,6,3,7,7,1,0,1,0,0,1,0,65,67
8505,4253,PIT,16,7,3,3,3,4,10,2,85,19,311,36,24,3,0,1,6,238,4,20,0,0,0,0,38,28.5,1,1,0,0,3,3,118,3,1,55,238,7,6,1,0,15,8,5,2,3,43,3,23,0,0,4,11,4,7,4,-1,1,2,10,65,7,15,2,5,0,0,5,56,14,86,10,76,5,98,1,0,1,23,8,30,20,279,5,28,3,2,38,302,16,105,11,116,12,90,8,8,8,8,68,10,65,2,-6,10,61,2,16,4,-2,28,1,0,265,13,176,1,1,0,5,1,17.5,7.5,8.5,13.5,13,2,0,8,1,8,0,1,0,1,1,1,1,0,63,74
8506,4253,DEN,23,6,3,3,11,6,12,1,110,34,215,37,21,1,0,0,6,282,1,42,0,0,0,0,49,31.5,1,1,0,0,5,5,206,2,1,45,65,14,6,7,1,15,10,3,2,0,0,4,9,4,54,7,10,5,8,11,25,1,4,13,43,15,62,4,5,1,0,11,82,10,51,8,39,2,0,3,31,3,19,16,125,12,62,5,24,4,11,37,176,18,127,8,33,12,55,6,10,5,5,17,9,57,14,31,6,76,6,19,2,4,7,1,0,508,14,242,1,3,0,5,2.5,7.5,9.5,5.5,13,19,3,1,9,1,11,0,0,1,1,0,3,0,0,74,63
8507,4254,NE,18,6,3,3,6,3,13,4,45,18,292,56,27,4,2,0,6,281,4,48,1,19,0,0,53,30,2,1,1,0,2,2,84,4,2,11,119,6,4,1,1,22,9,10,3,0,0,0,0,1,2,11,26,3,6,0,0,1,11,10,19,4,7,2,19,2,14,11,37,17,100,17,67,3,0,3,87,5,19,21,92,1,0,15,144,19,74,64,349,21,95,22,134,17,63,6,14,7,3,8,10,44,2,3,25,152,2,1,11,18,18,2,0,412,15,260,0,1,0,11.5,1,9.5,3,7,14,0,1,0,11,2,6,0,4,0,1,0,1,1,0,83,68
8508,4254,DEN,20,7,10,0,3,2,9,1,100,31,145,32,17,3,0,1,9,423,3,21,1,3,2,12,51,30,2,0,2,0,2,2,83,2,1,42,55,5,3,0,2,13,3,6,4,1,0,8,46,3,3,8,26,3,1,5,21,1,3,17,38,7,5,5,57,2,12,7,23,6,30,11,68,3,34,2,21,2,0,15,74,6,44,5,33,5,25,32,192,7,22,16,47,12,76,4,10,3,10,14,10,102,7,36,8,20,4,0,5,16,31,3,0,505,15,375,0,4,0,7,2,5.5,8,2.5,20,3,3,2,11,3,10,0,2,0,0,0,3,3,0,68,83
8509,4255,ARI,15,0,7,0,8,5,14,2,60,16,227,41,23,3,4,3,4,195,2,2,2,45,1,72,51,23.5,2,1,1,0,0,0,0,1,1,52,21,7,3,4,0,21,11,5,5,1,0,3,7,2,2,1,1,2,1,3,15,4,34,11,14,5,46,0,0,0,0,4,18,5,31,24,165,3,0,2,21,3,0,15,67,12,64,4,36,10,68,39,209,20,125,12,52,12,50,4,13,6,6,21,11,37,0,0,0,0,2,3,1,10,8,0,0,334,13,157,0,1,0,13,1,9.5,2.5,7.5,14.5,7,5,2,6,2,6,0,1,1,1,3,1,1,0,64,72
8510,4255,CAR,49,17,7,10,15,8,11,2,156,41,324,28,19,1,1,0,3,119,2,38,1,19,4,27,45,36.5,6,3,2,1,2,2,66,4,3,109,208,14,7,4,3,14,4,5,5,1,22,3,1,4,9,15,76,4,16,3,5,3,27,18,82,12,48,3,26,8,49,11,82,3,26,5,19,2,99,2,83,5,0,9,139,5,38,10,113,4,19,55,600,9,59,10,76,10,163,6,8,5,6,36,9,109,0,0,0,0,7,20,3,8,11,0,0,432,13,117,0,0,0,4,5.5,7.5,8,3.5,10.5,24,3,2,6,3,10,7,1,0,0,1,1,2,0,72,64
8511,4256,CAR,10,0,7,0,3,8,10,3,118,27,197,41,18,7,1,3,7,315,3,2,2,42,1,19,102,33,1,1,0,0,1,2,39,2,1,85,131,11,5,5,1,13,5,6,2,1,15,2,23,7,19,5,6,3,10,6,25,3,20,18,66,8,46,1,6,6,45,15,69,2,0,12,57,1,0,7,111,3,20,17,154,10,57,9,41,4,5,63,303,16,80,18,88,14,36,3,9,6,6,20,10,23,2,2,4,4,2,4,1,13,68,1,0,417,16,234,1,1,0,7.5,5,12,7,7.5,5,6,2,2,12,1,6,0,4,0,1,1,2,3,1,80,60
8512,4256,DEN,24,10,3,3,8,4,5,2,90,28,104,23,13,5,1,1,8,367,1,61,2,42,1,3,51,27,2,1,0,1,3,3,97,4,1,59,69,7,3,4,0,10,7,2,1,3,5,4,18,2,0,8,30,6,38,5,-1,0,0,12,22,12,59,4,9,0,0,8,28,3,18,9,48,1,0,0,0,2,47,14,91,2,22,2,18,5,10,23,78,11,68,7,31,10,5,3,5,5,5,19,10,52,7,7,2,2,7,1,5,8,37,4.5,2,479,14,365,0,3,0,10,0.5,10,8.5,6,14,4,3,0,8,0,15,0,0,1,1,1,0,3,0,60,80
